Key,Value
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अग्नि","['मेरी', 'साथ', 'पद', 'आग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति न","['नदी', 'बाहर', 'साथ', 'नहीं']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सह","['साथ', 'भाग', 'भाग', 'साथ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति माता","['माँ', 'मेरी', 'पथ', 'मां']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति नदी","['नदी', 'कभी', 'पद', 'नदी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति वन","['अंधे', 'अकेला', 'जाती', 'जंगल']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति क्षेत्र","['क्षेत्र', 'श्रेष्ठ', 'रात', 'क्षेत्र']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति वानरः","['वानर', 'बिना', 'जंगल', 'वानर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विना","['बिना', 'बाहर', 'जाती', 'बिना']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति महत्त्व","['महत्व', 'माँ', 'तुम', 'महत्व']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति भाग","['भाग', 'भाग', 'भाग्य', 'साथ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति निन्दा","['निन्दा', 'निन्दा', 'मित्र', 'भाग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति उज्ज्वल","['उज्ज्वल', 'तुम', 'दो', 'निन्दा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अज्ञात","['अज्ञात', 'जमाई', 'अमरता', 'उज्ज्वल']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति हेडलाइट्","['हेडलाइट', 'विलाप', 'तारा', 'भाग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सप्त","['माँ', 'साथ', 'असिता', 'निन्दा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति दुष्टात्मा","['दुष्टात्मा', 'भाई', 'द्वारा', 'अज्ञात']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति गम्भीरा","['गंभीर ', 'शरीर', 'शरीर', 'हेडलाइट']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पापा","['पापों', 'पत्थर', 'पथ', 'सात']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अजगर","['अजगर', 'आगे', 'ओंठ', 'दुष्टात्मा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति श्रेष्ठः","['श्रेष्ठ', 'श्रेष्ठ', 'शिष्य', 'गंभीर ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अथर्व","['अथर्वा', 'आधा', 'अर्थ', 'पापों']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति शीर्षक","['शीर्षक', 'रक्षक', 'तारा', 'अजगर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अधर","['अंधे', 'अंत', 'बाहर', 'श्रेष्ठ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अधर्मी","['अधर्मी', 'आधा', 'अर्थ', 'अथर्वा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अतिरिक्त","['अतिरिक्त', 'तारा', 'असिता', 'शीर्षक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अधिक","['अधिक', 'असिता', 'ओंठ', 'ओंठ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति रक्षक","['रक्षक', 'रत्न', 'शीर्षक', 'अधर्मी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्वामी","['स्वामी', 'स्नान', 'तुझे', 'अतिरिक्त']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति बलिदानं","['बलिदान', 'बालिका', 'बाहर', 'अधिक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अध्ययनम्‌","['अध्ययन', 'अलग', 'शाम', 'रक्षक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पथं","['पद', 'पथ', 'मेरी', 'स्वामी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अनंतम्","['अंत', 'अंधे', 'असिता', 'बलिदान']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अनास","['अनानास', 'स्नान', 'पत्थर', 'अध्ययन']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति गैस","['गैस', 'बाहर', 'अंधे', 'पथ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अनुभव","['अनुभव', 'अशुभ', 'अनानास', 'अनंत']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति भाग्य","['भाग्य', 'राज्य', 'भाग', 'अनानास']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति नियन्त्रक","['नियंत्रक', 'मित्र', 'तारा', 'गैस']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विलाप","['विलाप', 'बिना', 'विजय', 'अनुभव']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रारूपनाम","['प्रारूपनाम', 'प्रकार', 'स्नान', 'भाग्य']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति शरीर","['शरीर', 'शरीर', 'करते', 'नियंत्रक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अंत","['अंत', 'अंधे', 'असिता', 'विलाप']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति परिवार","['परिवार', 'प्रकार', 'पत्थर', 'प्रारूपनाम']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति बालकः","['बालक', 'तारा', 'बालिका', 'शरीर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति बालिका","['बालिका', 'बालक', 'तारा', 'अंत']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति तुलना","['तुलना', 'तेल', 'बिना', 'परिवार']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रलोभन","['प्रलोभन', 'प्रशंसा', 'प्रकार', 'बालक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति आशा","['आशा', 'कभी', 'आकाश', 'बालिका']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति समुद्र","['समुद्र', 'अशुद्ध', 'अशुद्धता', 'तुलना']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति जन्म","['जन्म', 'जाती', 'राजा', 'प्रलोभन']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विद्रोह","['विद्रोह', 'मित्र', 'रात', 'आशा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पद","['पद', 'मेरी', 'कभी', 'समुद्र']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति श्रेष्ठ","['श्रेष्ठ', 'श्रेष्ठ', 'शिष्य', 'जन्म']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अभियोजनम्","['अभियोजन', 'भोजन', 'योग', 'विद्रोह']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति वर्णित","['वर्णित', 'करते', 'स्थायी', 'पद']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पूजा ","['पूजा ', 'पत्थर', 'पापों', 'श्रेष्ठ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति द्वारा","['द्वारा', 'स्नान', 'भाई', 'अभियोजन']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अमृतम्","['अमरता', 'अमृत ', 'जमाई', 'वर्णित']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अछूत","['अछूत', 'असिता', 'अंत', 'पूजा ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति संबंध","['संबंध', 'अंधे', 'बाहर', 'द्वारा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति लौह","['लोहा', 'बाहर', 'कभी', 'अमृत ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति मूल्य","['मूल्य', 'सूरज', 'शिष्य', 'अछूत']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अर्थ","['अर्थ', 'आधा', 'आगे', 'संबंध']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अर्ध","['आशा', 'कभी', 'आकाश', 'लोहा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अलस्य","['आशा', 'गैस', 'बाहर', 'मूल्य']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति उपेक्षा","['उपेक्षा', 'आपके', 'रक्षक', 'अर्थ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अकाल","['अकाल', 'अकेला', 'आकाश', 'आधा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अवतार","['अवतार', 'अवतु', 'तारा', 'आलस']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अवतु","['अवतु', 'अवैध', 'अवतार', 'उपेक्षा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पृथ्वी","['पृथ्वी', 'तुम', 'पाँच', 'अकाल']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अचारः","['अचार', 'आगे', 'अवतार', 'अवतार']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अवशोषणम्","['अवशोषण', 'आभूषण', 'आँसू', 'अवतु']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रवेश","['प्रवेश ', 'प्रकाश', 'प्रशंसा', 'पृथ्वी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्वयं","['स्वतः', 'तुझे', 'सेवक', 'अचार']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति करने","['करने', 'करते', 'जाती', 'अवशोषण']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति राज्य","['राज्य', 'राजा', 'भाग्य', 'प्रवेश ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्थिता","['स्थायी', 'स्थित', 'असिता', 'स्वतः']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अविनाशिनं","['अविनाशी', 'बिना', 'अश्विनी', 'करने']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विचारानि","['विलाप', 'बिना', 'विजय', 'राज्य']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अवैध","['अवैध', 'अंधे', 'अवतु', 'स्थित']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अदृश्यम्","['अदृश्य', 'आलस', 'अलग', 'अविनाशी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति असमर्थः","['असमर्थ', 'अर्थ', 'सूरज', 'विचार']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति भोजन","['भोजन', 'राजा', 'योग', 'अवैध']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अशुद्ध","['अशुद्ध', 'अशुद्धता', 'अशुभ', 'अदृश्य']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अशुभं","['अशुभ', 'अनुभव', 'अंधे', 'असमर्थ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति खादतु","['पापों', 'बिना', 'मां', 'भोजन']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति आनन्द","['आनंद', 'अंधे', 'जाती', 'अशुद्ध']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अश्रु","['आकाश', 'आपके', 'साथ', 'अशुभ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अश्विनी","['अश्विनी', 'तपस्वी', 'आँसू', 'खाना']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अष्ट","['मेरी', 'साथ', 'पद', 'आनंद']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति एकम्","['अकेला', 'मेरी', 'साथ', 'आँसू']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति द्वे","['मेरी', 'कभी', 'देवता', 'अश्विनी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पञ्च","['पाँच', 'पापों', 'तारा', 'आठ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति असित","['असिता', 'अमरता', 'झटके', 'एक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति लिखतु","['लिखना', 'बिना', 'तुलना', 'दो']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रियम्","['द्वारा', 'तारा', 'पत्थर', 'पाँच']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति मित्रा","['मित्र', 'माँ', 'रात', 'असिता']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति गीतानि","['गीतों', 'माँ', 'करते', 'लिखना']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विजय","['विजय', 'बिना', 'योग', 'प्यारे']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति आपका","['आपके', 'अकेला', 'ऊपर', 'मित्र']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति भ्राता","['भाग', 'भाग', 'तारा', 'गीतों']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति तुच्छम्","['तुच्छ', 'तुलना', 'तारा', 'साथ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति आकाश","['आकाश', 'आपके', 'अकाल', 'विजय']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति उपरि","['ऊपर', 'पद', 'ओंठ', 'आपके']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्वर्ग","['स्वर्ग', 'तुझे', 'सूरज', 'भाई']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति देव","['देवता', 'अमरता', 'सेवक', 'तुच्छ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रकाश","['प्रकाश', 'प्रकार', 'प्रवेश ', 'आकाश']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सूर्य","['सूरज', 'तारा', 'योग', 'ऊपर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्राकार","['प्रकार', 'प्रकाश', 'प्रवेश ', 'स्वर्ग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रकृष्ट","['उत्कृष्ट', 'तुझे', 'आठ', 'देवता']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति रत्न","['रत्न', 'राजा', 'रात', 'प्रकाश']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति हृदयम्","['हृदय', 'कभी', 'विजय', 'सूरज']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्थिर","['स्वामी', 'स्नान', 'स्थायी', 'प्रकार']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति कदा","['कभी', 'नदी', 'बाहर', 'उत्कृष्ट']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अग्र","['आशा', 'बाहर', 'अंधे', 'रत्न']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति दिवस","['दिन', 'देवता', 'बिना', 'हृदय']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति दुःख","['दुख', 'योग', 'देवता', 'स्थायी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विचित्रम्","['विचित्र', 'मित्र', 'क्षेत्र', 'कभी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति त्वम","['योग', 'मेरी', 'तुम', 'आगे']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सेवक","['सेवक', 'देवता', 'तारा', 'दिन']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति गृहम्","['मेरी', 'साथ', 'पद', 'दुख']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति मम","['तारा', 'माँ', 'मेरी', 'विचित्र']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति त्वम्","['तारा', 'योग', 'तुम', 'तुम']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति तपस्विन्","['तपस्वी', 'तुम', 'पृथ्वी', 'सेवक']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति शिष्य","['शिष्य', 'सौ', 'सूरज', 'घर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सदैव","['अमरता', 'आशा', 'मां', 'मेरी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति प्रशंसा","['प्रशंसा', 'प्रकार', 'प्रकाश', 'तुझे']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति संध्या","['सौ', 'मेरी', 'आशा', 'तपस्वी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति जनि","['जमाई', 'माँ', 'मां', 'शिष्य']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति शतम्","['साथ', 'साथ', 'साथ', 'हमेशा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति खादाम्","['मां', 'माँ', 'खाना', 'प्रशंसा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अमृता","['अमरता', 'मां', 'जमाई', 'शाम']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति करति","['करते', 'करने', 'माँ', 'जाती']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अलग्न","['अंधे', 'अलग', 'अंत', 'सौ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति भूषण","['आभूषण', 'पत्थर', 'आकाश', 'खाता']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति रात्रि","['माँ', 'अंत', 'भाग', 'अमरता']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति मातृ","['माँ', 'मेरी', 'भाग', 'करते']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पालनम्","['पालन', 'पापों', 'तारा', 'अलग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति राक्षसाः","['राक्षसों', 'रक्षक', 'रात', 'आभूषण']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति एकल","['अकाल', 'अकेला', 'अमरता', 'रात']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति युज","['योग', 'भाग', 'भाग', 'माँ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सौभाग्यम्","['सौभाग्य', 'भाग्य', 'सूरज', 'पालन']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति राजन्","['राजा', 'राज्य', 'पापों', 'राक्षसों']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्वातंत्र्य","['स्वतंत्र', 'स्वर्ग', 'स्वतः', 'अकेला']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अंध","['अंधे', 'अंत', 'ओंठ', 'योग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति तैलम्","['अकेला', 'देवता', 'तारा', 'सौभाग्य']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति शरीरा","['शरीर', 'शरीर', 'करते', 'राजा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति स्नाना","['स्नान', 'स्थायी', 'स्वतः', 'स्वतंत्र']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति तेजस्","['तेज', 'योग', 'देवता', 'अंधे']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति झटिति","['झटके', 'अकेला', 'आपके', 'तेल']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अशुद्धि","['अशुद्धता', 'अशुद्ध', 'अमरता', 'शरीर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति संस्कारा","['संस्कार', 'शाम', 'स्थायी', 'स्नान']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति जमातृ","['जमाई', 'माँ', 'जाती', 'तेज']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति पाषाण","['तुम', 'आगे', 'स्थायी', 'झटके']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति बहि","['बाहर', 'तारा', 'माँ', 'अशुद्धता']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति तारक","['तारा', 'पापों', 'मां', 'संस्कार']"
